pais,iso2,cidade,latitude,longitude,posicao_historica,criterio,fonte_coordenadas,observacao
Argentina,AR,Rosario,-32.94682,-60.63932,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Armênia,AM,Yerevan,40.17765,44.5126,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Armênia,AM,Gyumri,40.79305,43.84635,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Armênia,AM,Vagharshapat,40.16557,44.29462,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Armênia,AM,Vanadzor,40.8074,44.49704,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Armênia,AM,Artashat,39.95484,44.54874,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Austrália,AU,Sydney,-33.86785,151.20732,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Austrália,AU,Melbourne,-37.814,144.96332,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Austrália,AU,Brisbane,-27.46794,153.02809,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Austrália,AU,Perth,-41.57231,147.17096,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Austrália,AU,Adelaide,-34.92866,138.59863,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Áustria,AT,Vienna,48.20849,16.37208,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Áustria,AT,Salzburg,47.79941,13.04399,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Áustria,AT,Innsbruck,47.26266,11.39454,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Áustria,AT,Graz,47.06733,15.44197,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Áustria,AT,Linz,48.30639,14.28611,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Azerbaijão,AZ,Baku,40.37767,49.89201,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Azerbaijão,AZ,Ganja,40.68157,46.36134,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Azerbaijão,AZ,Sheki,41.19194,47.17056,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Azerbaijão,AZ,Shamakhi,40.63141,48.64137,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Azerbaijão,AZ,Qabala,40.98139,47.84583,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bahamas,BS,Nassau,25.05823,-77.34306,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bahamas,BS,Freeport,26.53333,-78.7,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bahamas,BS,George Town,23.51616,-75.78665,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bahamas,BS,Abraham’s Bay,22.36667,-72.96667,4,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bahamas,BS,Alice Town,25.728,-79.29721,5,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Barein,BH,Manama,26.22787,50.58565,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Barein,BH,Al Muharraq,26.25722,50.61194,2,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Barein,BH,Al Ḩadd,26.24556,50.65417,3,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Barein,BH,Ar Rifā‘,26.13,50.555,4,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Barein,BH,Az Zallāq,26.0475,50.48639,5,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bangladesh,BD,Dhaka,23.7104,90.40744,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bangladesh,BD,Rajshahi,24.374,88.60114,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bangladesh,BD,Sylhet,24.89904,91.87198,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bangladesh,BD,Sonārgaon,23.65,90.61667,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bangladesh,BD,Ashuganj City,24.04016,91.0117,5,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Barbados,BB,Bridgetown,13.10732,-59.62021,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Barbados,BB,Speightstown,13.25072,-59.64396,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Barbados,BB,Holetown,13.18672,-59.63808,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Barbados,BB,Bathsheba,13.21133,-59.52596,4,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Barbados,BB,Checker Hall,13.28445,-59.64223,5,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bielorrússia,BY,Minsk,53.90019,27.56653,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bielorrússia,BY,Brest,52.10894,23.71749,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bielorrússia,BY,Vitebsk,55.1904,30.2049,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bielorrússia,BY,Polotsk,55.4879,28.7856,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bielorrússia,BY,Nesvizh,53.22186,26.67679,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bélgica,BE,Brussels,50.85045,4.34878,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bélgica,BE,Antwerp,51.22047,4.40026,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bélgica,BE,Leuven,50.87959,4.70093,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bélgica,BE,Liège,50.63373,5.56749,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bélgica,BE,'s-Gravenvoeren,50.75872,5.76113,5,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Belize,BZ,Belmopan,17.25376,-88.76401,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Belize,BZ,Belize City,17.49952,-88.19756,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Belize,BZ,San Ignacio,17.1588,-89.0696,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Belize,BZ,Armenia,17.1553,-88.7464,4,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Belize,BZ,August Pine Ridge,17.9725,-88.72489,5,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Benin,BJ,Porto-Novo,6.49646,2.60359,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Benin,BJ,Cotonou,6.36536,2.41833,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Benin,BJ,Ouidah,6.36307,2.08506,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Benin,BJ,Abomey,7.18286,1.99119,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Benin,BJ,Djougou,9.70853,1.66598,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Butão,BT,Thimphu,27.46609,89.64191,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Butão,BT,Punākha,27.59137,89.87743,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Butão,BT,Paro,27.4305,89.41334,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Butão,BT,Trongsa,27.5026,90.50716,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Butão,BT,Jakar,27.54918,90.7525,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bolívia,BO,Potosí,-19.58361,-65.75306,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bolívia,BO,Sucre,-19.03332,-65.26274,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bolívia,BO,La Paz,-16.5,-68.15,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bolívia,BO,Cochabamba,-17.38195,-66.15995,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bolívia,BO,Abapó Viejo,-18.88562,-63.3829,5,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bósnia e Herzegovina,BA,Sarajevo,43.84864,18.35644,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bósnia e Herzegovina,BA,Mostar,43.34333,17.80806,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bósnia e Herzegovina,BA,Jajce,44.34203,17.27059,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bósnia e Herzegovina,BA,Travnik,44.22637,17.66583,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bósnia e Herzegovina,BA,Banja Luka,44.77879,17.20629,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Botsuana,BW,Gaborone,-24.65451,25.90859,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Botsuana,BW,Francistown,-21.17,27.50778,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Botsuana,BW,Maun,-19.98333,23.41667,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Botsuana,BW,Serowe,-22.38754,26.71077,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Botsuana,BW,Kanye,-24.96675,25.33273,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Brasil,BR,Brasília,-15.77972,-47.92972,1,capital,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Brasil,BR,Salvador,-12.97563,-38.49096,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Brasil,BR,Olinda,-8.00889,-34.85528,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Brasil,BR,Ouro Preto,-20.39484,-43.50517,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Brasil,BR,Rio de Janeiro,-22.90642,-43.18223,5,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Brasil,BR,São Paulo,-23.5475,-46.63611,6,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Brasil,BR,Recife,-8.05389,-34.88111,7,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Brasil,BR,São Luís,-2.52972,-44.30278,8,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Brunei,BN,Bandar Seri Begawan,4.89035,114.94006,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Brunei,BN,Kuala Belait,4.58361,114.2312,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Brunei,BN,Tutong,4.80278,114.64917,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Brunei,BN,Seria,4.60637,114.32476,4,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Brunei,BN,Bangar,4.70861,115.07167,5,major-city fallback,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bulgária,BG,Sofia,42.69751,23.32415,1,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bulgária,BG,Plovdiv,42.15387,24.75001,2,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
Bulgária,BG,Varna,43.21912,27.91024,3,historical/curated,GeoNames (via world-cities/joelacus),Seleção histórica curada; países de grande relevância histórica têm mais de 5 cidades. Vaticano é exceção por ser uma cidade-Estado.
